,cities,lat,lng,temp,humidity,cloudiness,windspeed
492,cleburne,32.35,-97.39,52.39,81.0,90.0,4.7
493,airai,-8.93,125.41,66.63,87.0,0.0,0.72
494,tondano,1.3,124.91,77.0,94.0,40.0,2.24
495,miri,10.31,9.75,63.43,43.0,0.0,5.97
496,mareeba,-16.99,145.42,77.0,83.0,75.0,12.75
497,tairua,-37.02,175.85,60.01,60.0,0.0,5.97
498,palu,-0.9,119.87,66.18,97.0,68.0,1.72
499,verkhnedneprovskiy,54.98,33.35,22.57,89.0,48.0,5.41
500,cheremshanka,51.44,24.5,23.56,94.0,80.0,7.54
501,wageningen,51.98,5.66,55.4,87.0,90.0,11.41
502,torbay,47.66,-52.73,26.6,86.0,90.0,23.04
503,imamoglu,37.26,35.66,55.4,93.0,75.0,3.36
504,leh,34.16,77.58,-14.24,77.0,48.0,1.61
506,kokopo,-4.34,152.27,82.78,100.0,36.0,4.63
507,vila velha,-3.71,-38.6,84.2,74.0,40.0,9.17
508,hamilton,32.3,-64.78,66.2,45.0,75.0,11.41
509,lerwick,60.15,-1.15,49.1,81.0,40.0,25.28
510,kashary,49.04,41.01,25.45,97.0,88.0,4.18
511,makinsk,52.63,70.42,-0.16,64.0,36.0,2.62
512,rey bouba,8.67,14.18,65.1,78.0,0.0,2.62
513,vidim,50.47,14.53,37.4,94.0,90.0,4.7
514,anloga,5.79,0.9,84.2,79.0,20.0,4.7
516,gresham,45.51,-122.44,42.15,44.0,1.0,20.8
517,tucuman,-17.17,-70.89,70.72,38.0,12.0,4.74
518,destin,30.39,-86.5,50.68,44.0,1.0,3.62
519,port keats,-14.25,129.55,83.32,94.0,0.0,7.76
520,saint-francois,46.42,3.91,53.6,87.0,90.0,6.93
521,kerrville,30.05,-99.14,55.69,92.0,90.0,9.17
522,lata,30.78,78.62,30.18,75.0,0.0,2.62
523,sidney,47.72,-104.16,21.65,59.0,40.0,13.87
524,aksum,14.12,38.72,55.2,81.0,32.0,2.51
525,dezful,32.38,48.4,54.7,99.0,100.0,3.4
526,palotina,-24.28,-53.84,86.92,45.0,0.0,9.55
527,shelburne,44.08,-80.2,32.94,78.0,90.0,6.93
528,logrono,42.47,-2.45,48.0,81.0,40.0,6.93
529,hofn,64.25,-15.21,37.4,100.0,90.0,31.09
530,mitsamiouli,-11.38,43.28,82.65,93.0,0.0,10.45
531,muli,22.62,71.45,58.3,76.0,36.0,3.06
532,sobolevo,54.43,31.9,21.58,94.0,56.0,4.18
533,tiznit,29.7,-9.73,60.37,88.0,0.0,3.18
534,ocampo,13.56,123.37,76.03,100.0,88.0,8.99
535,greenville,34.85,-82.4,44.11,41.0,1.0,8.05
536,midland,32.0,-102.08,51.08,60.0,80.0,16.11
537,mattru,7.62,-11.83,80.31,75.0,24.0,5.97
538,meadow lake,54.13,-108.44,15.8,78.0,20.0,16.11
540,shirokovskiy,58.84,57.78,16.09,87.0,80.0,3.62
541,vardo,39.62,-77.74,41.2,44.0,1.0,10.29
542,bendigo,-36.76,144.28,77.02,40.0,32.0,11.12
543,tautira,-17.73,-149.15,86.0,66.0,75.0,18.34
544,moranbah,-22.0,148.04,70.63,75.0,76.0,16.82
545,inuvik,68.36,-133.71,12.78,85.0,90.0,9.17
546,auki,12.18,6.51,70.09,33.0,0.0,8.55
548,porto novo,-23.68,-45.44,80.6,61.0,75.0,20.8
550,talnakh,69.49,88.39,-8.21,64.0,48.0,9.78
551,kidodi,-7.6,37.0,71.8,89.0,0.0,3.62
552,steamboat springs,40.48,-106.83,27.18,73.0,90.0,4.74
553,egvekinot,66.32,-179.17,-8.71,63.0,24.0,10.0
554,anadyr,64.73,177.51,-20.21,75.0,0.0,15.66
555,kirensk,57.78,108.12,-21.62,62.0,76.0,5.64
556,bulgan,48.81,103.53,-31.97,48.0,0.0,3.74
557,orocue,4.79,-71.34,95.7,30.0,48.0,13.58
558,saiha,22.49,92.98,54.7,91.0,12.0,1.5
559,ikalamavony,-21.17,46.6,62.26,95.0,44.0,2.73
560,tsabong,-26.02,22.4,73.2,19.0,0.0,4.63
561,sao joao del rei,-21.14,-44.26,77.0,69.0,75.0,6.93
562,trinidad,-33.52,-56.9,67.57,38.0,0.0,15.48
563,puerto baquerizo moreno,-0.9,-89.6,80.6,57.0,20.0,16.11
564,coffs harbour,-30.3,153.13,61.47,88.0,75.0,3.36
565,likasi,-10.99,26.74,66.36,96.0,24.0,2.73
566,mangai,-4.07,19.59,75.94,93.0,12.0,2.06
567,khvastovichi,53.47,35.09,27.97,90.0,92.0,10.78
568,moree,-29.46,149.84,62.6,59.0,0.0,10.29
569,kiama,-34.67,150.86,51.8,100.0,0.0,4.7
570,bereda,43.27,-7.54,53.6,87.0,0.0,9.17
571,ciawi,-6.7,108.44,79.95,100.0,44.0,4.74
573,belogorsk,45.06,34.59,32.38,100.0,92.0,10.56
574,pangoa,-12.12,-73.0,69.64,98.0,88.0,0.49
575,cairns,-16.92,145.77,77.0,83.0,75.0,13.87
576,estelle,32.87,-97.01,52.57,76.0,90.0,6.93
577,merritt island,28.54,-80.67,68.86,59.0,1.0,9.17
578,foumban,5.73,10.9,62.62,62.0,0.0,2.39
579,ler,63.2,10.3,26.82,85.0,0.0,9.17
580,te anau,-45.41,167.72,56.77,70.0,0.0,3.51
581,oranjemund,-28.55,16.43,61.81,96.0,80.0,2.51
582,barranca,-10.75,-77.76,67.35,96.0,32.0,13.47
583,baiyin,36.55,104.13,5.0,84.0,0.0,2.24
584,camacha,33.08,-16.33,65.44,88.0,20.0,13.87
585,ibra,22.69,58.55,53.58,91.0,0.0,1.72
586,port augusta,-32.49,137.76,75.2,22.0,8.0,9.17
587,acapulco,16.86,-99.88,87.8,66.0,20.0,5.82
588,santa maria,-29.69,-53.81,73.51,48.0,36.0,9.1
589,iguape,-24.7,-47.56,75.49,87.0,0.0,11.68
590,ambilobe,-13.19,49.05,70.68,93.0,48.0,5.08
591,atambua,-9.11,124.89,78.28,100.0,8.0,2.39
592,buctzotz,21.2,-88.79,81.7,63.0,64.0,7.09
594,palermo,2.89,-75.43,86.0,55.0,40.0,4.7
595,basco,40.33,-91.2,29.19,63.0,1.0,9.17
596,puerto narino,-3.77,-70.38,86.0,74.0,75.0,5.82
597,birao,10.3,22.78,69.78,28.0,0.0,10.0
598,berezovyy,51.67,135.7,-33.14,56.0,12.0,2.62
599,san quintin,17.54,120.52,66.13,79.0,0.0,2.62
600,maceio,-9.67,-35.74,86.0,66.0,40.0,12.75
601,urgut,39.41,67.25,37.4,68.0,64.0,4.7
602,viedma,-40.81,-62.99,71.58,34.0,0.0,5.64
603,kaolinovo,43.62,27.12,13.71,63.0,12.0,5.08
605,axim,4.87,-2.24,84.49,97.0,36.0,10.45
606,la palma,5.36,-74.39,75.13,74.0,32.0,1.39
607,mahebourg,-20.41,57.7,75.2,88.0,20.0,4.7
608,bayan,47.25,107.54,-21.58,53.0,0.0,14.25
609,suluq,31.67,20.25,54.97,89.0,56.0,7.54
610,moron de la frontera,37.12,-5.45,57.25,82.0,0.0,3.36
611,chiriguana,9.36,-73.6,95.88,31.0,0.0,2.95
612,mugur-aksy,50.38,90.44,-38.81,62.0,0.0,2.73
613,athabasca,54.72,-113.29,16.41,82.0,0.0,5.53
614,shirokiy,53.87,39.17,24.91,95.0,92.0,5.19
615,brigantine,39.41,-74.36,39.38,56.0,1.0,11.41
616,nouna,12.73,-3.87,74.55,27.0,0.0,8.55
617,tamiahua,21.28,-97.45,70.63,100.0,80.0,8.66
619,huarmey,-10.07,-78.15,74.68,50.0,8.0,4.52
620,lambarene,-0.7,10.22,74.46,100.0,56.0,2.17
621,corner brook,48.95,-57.95,26.6,68.0,90.0,8.05
622,guanica,17.97,-66.91,82.4,93.0,40.0,16.11
623,akhtanizovskaya,45.32,37.1,37.4,93.0,75.0,6.71
624,scottsbluff,41.87,-103.67,23.47,77.0,90.0,9.17
625,santa maria da vitoria,-13.39,-44.19,72.21,91.0,48.0,8.99
626,slave lake,55.28,-114.77,19.4,73.0,1.0,14.99
628,breytovo,58.3,37.86,20.86,68.0,64.0,5.75
629,san vicente,13.64,-88.78,87.8,38.0,40.0,9.17
